,user,text,favorite_count,retweet_count,created_at
0,elonmusk,@DaltBrewer The embarrassing hose down photos were highly motivating tbh,3400,135,2022-10-02 23:47:07+00:00
1,elonmusk,https://t.co/inO8f1q38o,65604,4046,2022-10-02 23:29:18+00:00
2,elonmusk,@WholeMarsBlog Tunneled under the road from one property to another. This is to test the new machine.,3560,156,2022-10-02 23:27:29+00:00
3,elonmusk,"@PPathole Unfortunately, snail is still faster, but TBC might beat snail by end of 2024",2833,128,2022-10-02 23:26:23+00:00
4,elonmusk,Prufrock II emerging from the ground https://t.co/csamCrmAZa,34112,2278,2022-10-02 23:03:40+00:00
5,elonmusk,"@OwenSparks_ @GerberKawasaki But between now and then, we do actually need to work hard",2793,178,2022-10-02 22:08:53+00:00
6,elonmusk,"@GerberKawasaki I don’t care about boosting the stock, but the economic implications are obvious",11124,655,2022-10-02 22:07:05+00:00
7,elonmusk,Do not let ancient grudge break to new mutiny,67221,5587,2022-10-02 18:49:35+00:00
8,elonmusk,@chicago_glenn @Pontifex So many talented Russians in America,2547,115,2022-10-02 18:32:23+00:00
9,elonmusk,@WholeMarsBlog Customer experience suffers when there is an end of quarter rush. Steady as she goes is the right move.,4237,296,2022-10-02 18:22:52+00:00
10,elonmusk,@Pontifex War always gives ample reason for vengeance for all sides. Only by overcoming this instinct can there be peace.,28130,2011,2022-10-02 18:21:23+00:00
11,elonmusk,@WholeMarsBlog Smoothing out crazy end of quarter delivery wave to reduce expedite costs &amp; relieve stress on Tesla team. Aiming for steadier deliveries intra-quarter.,3209,292,2022-10-02 18:17:15+00:00
12,elonmusk,"@WholeMarsBlog It’s funny reading simultaneous criticism that it’s already been done, but also it’s impossible 🤣",3981,254,2022-10-02 18:05:45+00:00
13,elonmusk,@streetpeopleLA @KitsonLA ??,16863,633,2022-10-02 18:00:55+00:00
14,elonmusk,@DoctorJack16 Master Plan (mé·nage à) Trois is all about tonnage,5055,320,2022-10-02 16:46:20+00:00
15,elonmusk,"@OriolVinyalsML @Tesla @karpathy Thanks, we have a great team",5643,231,2022-10-02 15:04:52+00:00
16,elonmusk,@Rainmaker1973 Beautiful,12632,429,2022-10-02 15:03:23+00:00
17,elonmusk,@wintonARK Exactly,6726,233,2022-10-02 11:41:10+00:00
18,elonmusk,https://t.co/HdUl0etoao,196734,11960,2022-10-02 11:15:14+00:00
19,elonmusk,"Recording of Tesla AI Day 2022 
https://t.co/7LR51x7pXa",20683,2358,2022-10-02 01:29:06+00:00
20,elonmusk,Join https://t.co/FgKC8Zt4k9,18747,1628,2022-10-02 01:25:38+00:00
21,elonmusk,@chicago_glenn @EvasTeslaSPlaid A little,1812,67,2022-10-02 00:28:32+00:00
22,elonmusk,@WholeMarsBlog That and giving it a brain,7879,435,2022-10-02 00:27:37+00:00
23,elonmusk,@EvasTeslaSPlaid And Wegovy,1370,57,2022-10-02 00:26:29+00:00
24,elonmusk,@ICannot_Enough Yes,11140,375,2022-10-02 00:06:42+00:00
25,elonmusk,@EvasTeslaSPlaid Fasting,95276,4239,2022-10-01 13:13:02+00:00
26,elonmusk,"@Don_lyall @Neuro_Skeptic Uh oh, mine must be tiny!",1814,84,2022-10-01 13:11:16+00:00
27,elonmusk,@karpathy 🤣,8123,222,2022-10-01 05:25:55+00:00
28,elonmusk,🤖 🖤 https://t.co/eNhVVztXHM,93495,4986,2022-10-01 05:21:49+00:00
29,elonmusk,https://t.co/NluTMRAQfa,56170,3045,2022-10-01 03:17:21+00:00
30,elonmusk,@AstroJordy 🔥🔥,4326,121,2022-10-01 03:11:41+00:00
31,elonmusk,@NASASpaceflight 💯,4996,168,2022-10-01 03:10:10+00:00
32,elonmusk,https://t.co/PHa7kKhFoT,501358,32761,2022-10-01 03:08:48+00:00
33,elonmusk,"Naturally, there will be a catgirl version of our Optimus robot",102837,7151,2022-10-01 03:05:34+00:00
34,elonmusk,"The point of AI Day is to show the immense depth &amp; breadth of Tesla in AI, compute hardware &amp; robotics",50476,3941,2022-10-01 02:36:33+00:00
35,elonmusk,@cb_doge @Tesla 🤣,2055,94,2022-10-01 02:22:17+00:00
36,elonmusk,@teslaownersSV Yup,7500,317,2022-10-01 02:12:00+00:00
37,elonmusk,"@RyanAFournier Should be according to greatest need, not race or anything else",49651,6384,2022-10-01 00:45:28+00:00
38,elonmusk,@ValaAfshar !!,14392,541,2022-09-30 22:35:38+00:00
39,elonmusk,Webcast link https://t.co/TrtjKph4Mk,15912,1658,2022-09-30 22:13:26+00:00
40,elonmusk,Tesla AI Day 2022 starts at precisely 6:15pm California time,41103,3098,2022-09-30 22:08:06+00:00
41,elonmusk,"@teslaownersSV @Tesla Tesla team is awesome, such an honor to work with them!",12299,622,2022-09-30 22:03:36+00:00
42,elonmusk,@MuskUniversity Now,9964,440,2022-09-30 17:28:19+00:00
43,elonmusk,@WholeMarsBlog That is not cgi,6718,385,2022-09-30 17:25:51+00:00
44,elonmusk,@WholeMarsBlog The hands of Optimus,6884,410,2022-09-30 17:19:09+00:00
45,elonmusk,@engineers_feed I still love the 747. Epic plane.,32678,902,2022-09-30 17:17:05+00:00
46,elonmusk,@SawyerMerritt Haha 💯,6655,251,2022-09-30 16:36:15+00:00
47,elonmusk,@Rainmaker1973 Such an incredible engine!,10662,403,2022-09-30 15:40:12+00:00
48,elonmusk,@ajtourville 🤣,2104,82,2022-09-30 05:41:09+00:00
49,elonmusk,@NASAHubble @NASA @SpaceX Yay,13481,499,2022-09-30 01:15:33+00:00
50,elonmusk,@MuskUniversity True,14620,484,2022-09-29 20:22:46+00:00
51,elonmusk,"Needs be able to get from Starbase to South Padre Island, which requires crossing the channel",54490,2235,2022-09-29 15:35:09+00:00
52,elonmusk,@WholeMarsBlog Off-label use 🤣,54247,1105,2022-09-29 15:32:42+00:00
53,elonmusk,"Cybertruck will be waterproof enough to serve briefly as a boat, so it can cross rivers, lakes &amp; even seas that aren’t too choppy",203387,14682,2022-09-29 15:31:12+00:00
54,elonmusk,@phibetakitten Submarines use electric motors under water …,19532,675,2022-09-29 15:28:10+00:00
55,elonmusk,Works on land too,22013,860,2022-09-29 15:25:16+00:00
56,elonmusk,As well as advanced chip &amp; supercomputer engineers for next-gen training &amp; inference,22068,1233,2022-09-29 14:59:48+00:00
57,elonmusk,"Note, this event is meant for recruiting AI &amp; robotics engineers, so will be highly technical https://t.co/BcxAEv6qJd",51145,4494,2022-09-29 14:54:11+00:00
58,elonmusk,@stevenmarkryan Pretty much. AI/robotics engineers who understand what problems need to be solved will like what they see.,9971,543,2022-09-29 07:02:13+00:00
59,elonmusk,@WholeMarsBlog @Gfilche There will be lots of technical detail &amp; cool hardware demos,5108,381,2022-09-29 06:52:37+00:00
60,elonmusk,@Gfilche Good analysis,8684,345,2022-09-29 06:51:03+00:00
61,elonmusk,Rated for 280+ kph (174+ mph) winds https://t.co/qJBdykpTT9,13842,932,2022-09-28 23:47:46+00:00
62,elonmusk,Starlink Maritime system enables high speed Internet connectivity even in heavy seas &amp; hurricane winds https://t.co/6R4p73UGOT,47316,4417,2022-09-28 23:43:58+00:00
63,elonmusk,Last coal shipment arrived in Hawaii at same time as Tesla Megapack batteries that will enable 24/7 sustainable energy https://t.co/zlqJHLsAQq,43103,3741,2022-09-28 23:38:46+00:00
64,elonmusk,@BryceSpaceTech @SpaceX Still very tiny potatoes compared to what’s needed to make life multiplanetary,3376,765,2022-09-28 20:53:07+00:00
65,elonmusk,@BryceSpaceTech @SpaceX SpaceX now delivering about twice as much payload to orbit as rest of world combined,15750,1150,2022-09-28 20:51:53+00:00
66,elonmusk,@Reuters Extremely concerning,35030,1894,2022-09-28 19:49:15+00:00
67,elonmusk,"@Teslarati @KlenderJoey How ironic, that’s what Henrik Fisker did to Tesla in 2007! Karma is a …",5326,319,2022-09-28 19:47:18+00:00
68,elonmusk,@alex_avoigt They need to add a lot of batteries to the grid to buffer energy,18679,928,2022-09-28 14:33:47+00:00
69,elonmusk,https://t.co/mEBAgBCCkj,162535,14434,2022-09-28 07:16:12+00:00
70,elonmusk,I guess this joke is a slow burn … 🥁,26935,1253,2022-09-28 03:05:06+00:00
71,elonmusk,@WholeMarsBlog Big improvement in high speed cross-traffic velocity NN coming next month,12110,532,2022-09-28 03:02:36+00:00
72,elonmusk,@chrispavlovski @dbongino @rustyrockets Maybe worth talking at some point,9367,685,2022-09-28 02:59:44+00:00
73,elonmusk,Make “hair on fire” not just a metaphor,54430,3999,2022-09-27 23:20:31+00:00
74,elonmusk,https://t.co/1hbMzueALi,47269,3590,2022-09-27 23:04:38+00:00
75,elonmusk,Stand out in a crowd! Get noticed as you walk through the airport!,17348,854,2022-09-27 23:03:16+00:00
76,elonmusk,"Coming soon from @BoringCompany, the same people that sold you a Flamethrower",18160,826,2022-09-27 23:01:19+00:00
77,elonmusk,“Burnt Hair” – Scent for Men by Singed,44435,2446,2022-09-27 22:57:09+00:00
78,elonmusk,@dbongino @rustyrockets I’m a little preoccupied rn,10468,393,2022-09-27 22:25:44+00:00
79,elonmusk,@ID_AA_Carmack Batteries ftw,5122,242,2022-09-27 22:25:13+00:00
80,elonmusk,@rustyrockets Good point,35675,1461,2022-09-27 22:14:36+00:00
81,elonmusk,"My son, Saxon, was amazed that so many paper newspapers are still produced every day. 

He said they probably just search the Internet &amp; print it out. Yup, with rare exception, that is *actually* what they do haha.",113836,7549,2022-09-27 16:50:00+00:00
82,elonmusk,https://t.co/RcKPRe8eiM,609525,48221,2022-09-27 16:13:16+00:00
83,elonmusk,"Falcon 9 fairing cam captures 2nd stage plume, booster entry burn &amp; Earth in twilight https://t.co/ga9MpZKvK2",89832,7295,2022-09-27 14:51:58+00:00
84,elonmusk,"@lacker @ilyasut Even then, Lenin would’ve gotten nowhere without Ludendorff’s train",1843,115,2022-09-27 05:04:18+00:00
85,elonmusk,@Tesmanian_com Charming …,38760,1291,2022-09-26 00:25:50+00:00
86,elonmusk,https://t.co/qeiDmU3sOg,58641,2527,2022-09-25 19:59:30+00:00
87,elonmusk,https://t.co/2wpp3F31jA,240948,22908,2022-09-25 19:34:40+00:00
88,elonmusk,Starlink now over 1M user terminals manufactured,156617,12276,2022-09-25 19:04:39+00:00
89,elonmusk,@Stephen_Geiger Siegel is obviously correct,29664,1756,2022-09-24 10:43:01+00:00
90,elonmusk,@SecBlinken Activating Starlink …,191096,32225,2022-09-23 18:30:18+00:00
91,elonmusk,@teslaownersSV @stevenmarkryan Education is the path out of poverty and Internet access enables education,14569,2343,2022-09-23 04:19:01+00:00
92,elonmusk,@stevenmarkryan Exactly,4465,157,2022-09-23 04:16:45+00:00
93,elonmusk,Starlink connecting schools in the Amazon https://t.co/Xy70D0sk8N,133212,13753,2022-09-23 02:59:15+00:00
94,elonmusk,@jackfarrington @PopMech It is,3725,118,2022-09-22 20:33:13+00:00
95,elonmusk,@PopMech Why is this a PopMech story?,32560,1285,2022-09-22 19:09:40+00:00
96,elonmusk,@BillyM2k https://t.co/vFVHaB1l4t https://t.co/PupzZNZcPE,8438,506,2022-09-22 17:54:37+00:00
97,elonmusk,@ajtourville @Twitter @paraga Yup (sigh),14373,478,2022-09-22 17:39:58+00:00
98,elonmusk,@MuskUniversity Fully reusable orbital rockets are the fundamental breakthrough needed for humanity to become a multiplanet species,9694,666,2022-09-22 16:29:10+00:00
99,elonmusk,"@stocktalkweekly @WholeMarsBlog @SawyerMerritt The terminology is outdated &amp; inaccurate. This is a tiny over-the-air software update. To the best of our knowledge, there have been no injuries.",9409,652,2022-09-22 16:27:30+00:00
100,elonmusk,"@JoeTegtmeyer @teslascope @johnkrausphotos Your car needs a camera upgrade, which is free of charge. There are a few thousand cars in a similar situation. Replacement cameras will be available early next month.",3084,183,2022-09-22 15:24:48+00:00
101,elonmusk,@Rainmaker1973 @biolocousb While (!pheromone) {},18229,690,2022-09-22 15:16:36+00:00
102,elonmusk,@BillyM2k 🤣👍,15972,479,2022-09-21 23:28:35+00:00
103,elonmusk,@teslaownersSV @SawyerMerritt Shaded patio,6688,177,2022-09-21 21:05:20+00:00
104,elonmusk,"@SawyerMerritt Actually, I live in a little house on Weems St that cost ~$50k (but I’ve done a lot with the place!)",61272,2334,2022-09-21 21:03:36+00:00
105,elonmusk,@MuskUniversity Aka cogency,4402,199,2022-09-21 21:02:24+00:00
106,elonmusk,@BillyM2k Looks awesome 😎,29409,797,2022-09-21 17:02:32+00:00
107,elonmusk,@teslaownersSV @Teslarati Maybe little electric Tesla boats with a retro-futuristic Victorian design,4964,345,2022-09-21 16:13:42+00:00
108,elonmusk,"@Teslarati Long-term goal is a boardwalk with amenities that goes all the way to downtown Austin, so you can walk, bike or kayak",4467,268,2022-09-21 16:09:38+00:00
109,elonmusk,@Teslarati Area from south Giga to river really will be next-level great &amp; open to public!,6507,344,2022-09-21 16:04:36+00:00
110,elonmusk,"@Teslarati @KlenderJoey Ecological paradise plans from south portion of Giga Texas to river look great, however we must first get the factory financially on its feet",6831,396,2022-09-21 15:59:15+00:00
111,elonmusk,"@enn_nafnlaus @treygahigh @TaraBull808 @theliamnissan @RBReich I was instrumental in creating OpenAI, which made DALL-E",2458,154,2022-09-21 15:17:17+00:00
112,elonmusk,"@enn_nafnlaus @treygahigh @TaraBull808 @theliamnissan @RBReich Although his methods of instruction very strongly favored stick over carrot, I did learn a tremendous amount of engineering from him &amp; appreciation of art (he is an extremely talented artist)",1429,83,2022-09-21 15:09:59+00:00
113,elonmusk,"@enn_nafnlaus @TaraBull808 @treygahigh @theliamnissan @RBReich Boys High was a good school, but it was government, not private. Brooklyn would be considered a middle income, not exclusive, neighborhood in America.",1296,65,2022-09-21 15:00:26+00:00
114,elonmusk,@enn_nafnlaus @TaraBull808 @treygahigh @theliamnissan @RBReich For sure,1179,59,2022-09-21 14:55:11+00:00
115,elonmusk,"@enn_nafnlaus @treygahigh @TaraBull808 @theliamnissan @RBReich Errol ran out of money in the 90’s. My brother &amp; I financially supported him &amp; his extended family in South Africa since then on condition that he not do bad things. Unfortunately, he did do bad things :(",2300,155,2022-09-21 14:36:49+00:00
116,elonmusk,@enn_nafnlaus @treygahigh @TaraBull808 @theliamnissan @RBReich This is true,1368,62,2022-09-21 14:26:17+00:00
117,elonmusk,"@Teslarati @ResidentSponge With some improvements, it will achieve 300 Mps",14440,654,2022-09-21 14:02:11+00:00
118,elonmusk,"@enn_nafnlaus @TaraBull808 @treygahigh @theliamnissan @RBReich Incorrect. There was tuition for students from outside the school district, which was a small part of the student body, incl black students, but not for students in district, which I was.

Also, I was there for 2.5 years, previously attending govt schools for 9 of 12 years.",1703,91,2022-09-21 13:55:04+00:00
119,elonmusk,"@enn_nafnlaus @treygahigh @TaraBull808 @theliamnissan @RBReich I went to government schools, not private, except for part of one year in third grade",1936,127,2022-09-21 12:56:02+00:00
120,elonmusk,"@NASASpaceflight @yasin_shafiei @thejackbeyer @BocaChicaGal @NicAnsuini Probably Q2 next year, with vehicles initially transferred by boat from Port of Brownsville to the Cape",4143,266,2022-09-21 12:48:03+00:00
121,elonmusk,@cb_doge @PPathole @RBReich 🤣,1931,81,2022-09-21 12:45:47+00:00
122,elonmusk,@PPathole @RBReich https://t.co/82b0Msiktf,5342,236,2022-09-21 12:39:34+00:00
123,elonmusk,"@BnOrdhaug @yasin_shafiei @thejackbeyer @NASASpaceflight @BocaChicaGal @NicAnsuini That’s the plan. We’re taking a little  risk there, as engine isolation was done as retrofit, so not as good as on Booster 9.",2281,141,2022-09-21 12:34:25+00:00
124,elonmusk,"@yasin_shafiei @thejackbeyer @NASASpaceflight @BocaChicaGal @NicAnsuini Late next month maybe, but November seems highly likely. We will have two boosters &amp; ships ready for orbital flight by then, with full stack production at roughly one every two months.",4664,463,2022-09-21 12:30:46+00:00
125,elonmusk,"@thejackbeyer @NASASpaceflight @BocaChicaGal @NicAnsuini Our focus is on reliability upgrades for flight on Booster 7 and completing Booster 9, which has many design changes, especially for full engine RUD isolation.",5572,355,2022-09-21 12:22:06+00:00
126,elonmusk,@enn_nafnlaus @theliamnissan @RBReich Exactly,3669,233,2022-09-21 12:18:01+00:00
127,elonmusk,@teslaownersSV @chicago_glenn @Twitter Seems that way @Twitter @paraga,2651,158,2022-09-21 03:05:09+00:00
128,elonmusk,@chicago_glenn .@Twitter what’s going on?,1489,108,2022-09-21 02:58:45+00:00
129,elonmusk,@TrungTPhan @McDonalds Such miracles are impossible,8101,267,2022-09-21 02:57:41+00:00
130,elonmusk,@ruffpast @stevenmarkryan @SawyerMerritt @mayemusk @RBReich @PenguinBooks That’s a real picture?,2002,65,2022-09-21 02:50:11+00:00
131,elonmusk,@stevenmarkryan @SawyerMerritt @mayemusk @RBReich @PenguinBooks Absolutely,2294,85,2022-09-21 02:49:36+00:00
132,elonmusk,"@jhall @RBReich Unsurprisingly, Reich is also a hypocrite",2402,135,2022-09-21 02:46:23+00:00
133,elonmusk,@teslaownersSV @RBReich Reich is suicidally boring,12529,651,2022-09-21 02:41:37+00:00
134,elonmusk,@TrungTPhan 🤣,44299,1045,2022-09-21 02:39:19+00:00
135,elonmusk,@RBReich You both an idiot and a liar,55560,4973,2022-09-21 02:36:34+00:00
136,elonmusk,@BillyM2k 🤣,8055,281,2022-09-21 01:26:56+00:00
137,elonmusk,@ajtourville @parag @Twitter Curiouser and curiouser …,10169,451,2022-09-21 01:26:11+00:00
138,elonmusk,@BillyM2k @Austen Same,4620,210,2022-09-20 16:42:31+00:00
139,elonmusk,@BLKMDL3 @teslascope @johnkrausphotos Yes,1963,84,2022-09-20 13:03:48+00:00
140,elonmusk,"@ToscaMusk @kimbal Happy birthday bro, love you",15314,534,2022-09-20 12:50:21+00:00
141,elonmusk,"@teslascope @johnkrausphotos Yes, all US &amp; Canada cars with safety scores above 80 should receive an invitation to download FSD Beta by tomorrow",3405,327,2022-09-20 05:12:15+00:00
142,elonmusk,"@teslaownersSV @johnkrausphotos Note, Autopilot/AI team is also working on Optimus and (actually smart) summon/autopark, which have end of month deadlines",5936,530,2022-09-20 05:09:15+00:00
143,elonmusk,@teslaownersSV @johnkrausphotos Next month,2982,134,2022-09-20 05:07:23+00:00
144,elonmusk,@johnkrausphotos Yes,2507,64,2022-09-20 05:04:08+00:00
145,elonmusk,@agusantonetti @erfan_kasraie Ok,12651,1223,2022-09-20 02:39:18+00:00
146,elonmusk,@erfan_kasraie Starlink will ask for an exemption to Iranian sanctions in this regard,56597,13223,2022-09-19 22:25:02+00:00
147,elonmusk,@JitoKayumba @SpaceX Looking forward to providing Starlink service to the people of Zambia!,28458,2730,2022-09-19 22:23:17+00:00
148,elonmusk,@chazman @aelluswamy Car will move on tighter gaps as we enhance NN velocity predictions for crossing traffic. 10.69.3 next month has some step-change improvements.,7103,372,2022-09-19 22:04:59+00:00
149,elonmusk,*10.69.2.2,29826,1047,2022-09-19 21:57:54+00:00
150,elonmusk,"FSD Beta 10.69.2.1 looks good, extending to 160k owners in US &amp; Canada",46194,3555,2022-09-19 20:57:53+00:00
151,elonmusk,@MuskUniversity Profoundly important concept,7789,343,2022-09-19 20:55:46+00:00
152,elonmusk,"Baltasar Gracián, Oráculo Manual y Arte de Prudencia",36112,3179,2022-09-19 19:33:52+00:00
153,elonmusk,Great for clearing dust!,60942,2720,2022-09-19 18:56:02+00:00
154,elonmusk,"@Erdayastronaut @NASASpaceflight Booster 7 now returns to high bay for robustness upgrades &amp; booster 8 moves to pad for testing.

Next big test is probably full stack wet dress rehearsal, then 33 engine firing in a few weeks.",11166,938,2022-09-19 18:53:02+00:00
155,elonmusk,7 engine static fire https://t.co/sOm8Jx8rJq,139638,10781,2022-09-19 18:30:43+00:00
156,elonmusk,@NASASpaceflight Chamber pressure looked good on all 7 engines,17593,770,2022-09-19 18:00:22+00:00
157,elonmusk,"@SciGuySpace Yes, seven engine static fire",10174,538,2022-09-19 17:14:34+00:00
158,elonmusk,@RonMadison11 @CathieDWood @federalreserve There is too much latency in Fed decisions. Problematic in a fast-changing world.,3640,303,2022-09-19 17:13:42+00:00
159,elonmusk,@PopMech Tunnels ftw,7717,349,2022-09-19 16:28:12+00:00
160,elonmusk,"@CathieDWood Yes, the fundamental error is reasoning by analogy, rather than first principles",13500,1021,2022-09-19 15:16:05+00:00
161,elonmusk,"starry, starry night 
paint your palette
blue and gray https://t.co/iUm9pzfDGc",211290,15710,2022-09-19 06:30:06+00:00
162,elonmusk,"Starlink is now active on all continents, including Antarctica 
https://t.co/Q1VvqV5G0i",119514,13354,2022-09-19 03:26:40+00:00
163,elonmusk,@SpaceX Another batch with lasers reaches orbit,37393,1479,2022-09-19 02:59:33+00:00
164,elonmusk,@PPathole @NewsfromScience @ScienceVisuals True,3276,170,2022-09-18 17:24:03+00:00
165,elonmusk,"@NewsfromScience @ScienceVisuals Starship will be an incredible enabler for science. Full reusability &amp; high production rate drive several orders of magnitude improvement in $/kg to orbit &amp; beyond.

Next gen Starlink constellation is primary user of this rocket, so science doesn’t need to cover fixed cost.",17718,1391,2022-09-18 16:43:12+00:00
166,elonmusk,"@Kristennetten Should be Alexander, the Greatest. After all, is there a better Alexander?",5658,242,2022-09-18 03:52:29+00:00
167,elonmusk,@cb_doge 🤣,1789,77,2022-09-18 03:50:22+00:00
168,elonmusk,https://t.co/VDcpkjm56j,262331,22245,2022-09-18 03:16:21+00:00
169,elonmusk,@erikbryn @ericschmidt @CondoleezzaRice @scsp_ai @Ukraine Hyperloop could do that trip in less than half an hour,4077,274,2022-09-17 22:16:08+00:00
170,elonmusk,@Rainmaker1973 Looks like they’re fighting an actual fire demon!,55877,1467,2022-09-17 19:44:19+00:00
171,elonmusk,to help mend the fault in our stars,54361,2454,2022-09-17 15:09:12+00:00
172,elonmusk,@LarckeningXuruo @cb_doge It will be later this year when laser links activate on polar constellation,2811,182,2022-09-17 14:45:55+00:00
173,elonmusk,Starlink is meant for peaceful use only,225771,13044,2022-09-17 01:48:30+00:00
174,elonmusk,@ExposingBiden @MUSCkids Is it really true that four-year-olds are receiving hormone treatment?,33154,2877,2022-09-16 21:26:49+00:00
175,elonmusk,"@NaturePortfolio @NaturePhysics Technically true, but Earth’s economy is extremely far from physical limits. 

Energy is the foundation of the economy, but we’re using a very tiny amount of available energy, even if we only used PV.",10239,821,2022-09-16 21:23:35+00:00
176,elonmusk,@GailAlfarATX @Tesla @aelluswamy Beta expanding to safety scores above 80 after 10.69.2.1 goes out,5322,761,2022-09-15 15:55:27+00:00
177,elonmusk,"@GailAlfarATX @Tesla @aelluswamy 10.69.2.1 coming out in a few days with additional polish, 10.69.3 comes out shortly after AI Day",13654,811,2022-09-15 15:50:07+00:00
178,elonmusk,@ilyasut or their short shorts https://t.co/Ek4Xby92ga,36714,1366,2022-09-15 00:23:04+00:00
179,elonmusk,"Salted butter is amazing, but should be stored at room temperature https://t.co/8RSr340JB8",132330,7885,2022-09-14 07:38:04+00:00
180,elonmusk,@corey_aronson @CathieDWood Drop 0.25%,3708,344,2022-09-14 07:28:10+00:00
181,elonmusk,"@CathieDWood Exactly, this is neither subtle nor secret",12884,583,2022-09-14 07:17:09+00:00
182,elonmusk,"@WholeMarsBlog Layers upon layers of neural nets, ever higher",9602,407,2022-09-14 04:05:18+00:00
183,elonmusk,https://t.co/xMoL9wdXh6,295372,20922,2022-09-14 03:57:18+00:00
184,elonmusk,@HuobiGlobal Subtle 🤣,2374,136,2022-09-13 23:46:29+00:00
185,elonmusk,@HuobiGlobal 🤣,1970,96,2022-09-13 23:41:08+00:00
186,elonmusk,"Note, we are working on making the whistle sound much louder",29703,1681,2022-09-13 23:05:40+00:00
187,elonmusk,But u have to pay in Doge,41074,3403,2022-09-13 23:04:03+00:00
188,elonmusk,"Blow the whistle!
https://t.co/RQLDti0ULZ",52265,3872,2022-09-13 23:02:37+00:00
189,elonmusk,@chrissyfarr True,2214,81,2022-09-13 20:53:56+00:00
190,elonmusk,@kimbal Could be worse,2698,98,2022-09-13 20:12:26+00:00
